Years,Infant Mortality Rate,Gross Domestic Product,Defence Budget,Export Revenue,Inflation Rate,Past Wars/ Operations,Foreign Investment,Poverty Rate $5.50 Per Day,Trade Balance,Per Capita ,Population Growth Rate,Crime Rate,Indian Military Size,% Electricity from renewable source,Hunger Statistics
1960,161.742,$37.03B,$0.68B,$1.65B,0,,,,$-0.88B,$37.03B,2.31%,,,,
1961,159.366,$39.23B,$0.75B,$1.69B,3.21,Portugal,,,$-0.65B,$39.23B,2.33%,,,,
1962,156.989,$42.16B,$1.07B,$1.76B,2.48,China,,,$-0.79B,$42.16B,2.34%,,,,
1963,154.612,$48.42B,$1.80B,$2.07B,6.87,,,,$-0.79B,$48.42B,2.34%,,,,
1964,152.851,$56.48B,$1.99B,$2.10B,17.01,,,,$-1.11B,$56.48B,2.33%,,,,
1965,151.091,$59.55B,$2.13B,$1.97B,5.49,Pakistan,,,$-1.13B,$59.55B,2.26%,,,,
1966,149.33,$45.87B,$1.66B,$1.90B,13.94,,,,$-1.16B,$45.87B,2.18%,,,,
1967,147.57,$50.13B,$1.49B,$2.02B,8.6,China,,,$-0.96B,$50.13B,2.15%,,,,
1968,145.809,$53.09B,$1.59B,$2.14B,-2.23,,,,$-0.48B,$53.09B,2.19%,,,,
1969,143.815,$58.45B,$1.69B,$2.17B,3.54,,,,$-0.19B,$58.45B,2.23%,,,,
1970,141.822,$62.42B,$1.83B,$2.36B,5.01,,$0.05B,,$-0.06B,$62.42B,2.23%,,,,
1971,139.828,$67.35B,$2.26B,$2.47B,4.89,Pakistan,$0.05B,,$-0.23B,$67.35B,2.24%,,,,
1972,137.835,$71.46B,$2.50B,$2.88B,7.66,,$0.02B,,$0.23B,$71.46B,2.25%,,,,
1973,135.841,$85.52B,$2.53B,$3.60B,23.81,,$0.04B,,$-0.44B,$85.52B,2.28%,,,,
1974,132.832,$99.53B,$2.90B,$4.81B,25.4,,$0.06B,,$-1.18B,$99.53B,2.28%,,,,
1975,129.824,$98.47B,$3.32B,$5.56B,-6.18,,$-0.01B,,$-0.98B,$98.47B,2.26%,,,,
1976,126.815,$102.72B,$3.29B,$6.87B,0,,$-0.01B,,$0.59B,$102.72B,2.23%,,,,
1977,123.807,$121.49B,$3.48B,$7.75B,7.86,,$-0.04B,97.70%,$0.14B,$121.49B,2.23%,,,,
1978,120.798,$137.30B,$3.98B,$8.67B,1.51,,$0.02B,,$-0.38B,$137.30B,2.24%,,,,
1979,117.771,$152.99B,$4.59B,$10.33B,11.7,,$0.05B,,$-2.17B,$152.99B,2.25%,,,,
1980,114.743,$186.33B,$5.42B,$11.44B,9.09,,$0.08B,,$-5.79B,$186.33B,2.29%,,,,
1981,111.716,$193.49B,$5.88B,$11.49B,12.73,,$0.09B,,$-5.10B,$193.49B,2.30%,,,,
